id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
212050,Rental unit in Amsterdam · ★4.78 · 2 bedrooms · 2 beds · 1.5 baths,887591,Danielle,,De Baarsjes - Oud-West,52.36698,4.86622,Entire home/apt,246,3,20,8/11/2020,0.14,1,2,0,0363 9A8D FAD3 3822 96CB
446999,Bed and breakfast in Amsterdam · ★4.75 · 1 bedroom · 1 bed · 1 private bath,2064560,Har,,De Baarsjes - Oud-West,52.35927,4.86529,Private room,119,3,350,12/13/2022,2.7,2,0,22,
55868,Rental unit in Amsterdam · ★4.86 · 2 bedrooms · 2 beds · 1.5 baths,264178,Cornelie,,Zuid,52.35597,4.88512,Entire home/apt,149,3,95,1/3/2020,0.63,1,74,0,0363 B5A3 5F63 B032 A320
262394,Rental unit in Amsterdam · ★4.83 · 1 bedroom · 1 bed · 1 private bath,1376607,Martin,,Zuid,52.35695,4.85234,Private room,88,3,113,10/7/2019,0.83,1,0,0,
62015,Rental unit in Amsterdam · ★4.91 · 1 bedroom · 1 bed · 1.5 baths,301340,Jessica,,Oud-Oost,52.36431,4.93122,Entire home/apt,120,2,36,11/14/2021,0.24,1,0,0,0363 B090 499C D757 7F4F
274688,Condo in Amsterdam · ★4.85 · 1 bedroom · 1 bed · 1 bath,1435990,Marij,,Bos en Lommer,52.37977,4.85574,Entire home/apt,146,4,49,6/3/2023,0.35,1,0,6,0363 04FA C38F 7362 8C6D
450767,Boat in Amsterdam · ★4.72 · 2 bedrooms · 3 beds · 1 bath,2238440,Richard En Birgit,,Centrum-Oost,52.37006,4.90081,Entire home/apt,275,3,179,5/22/2023,1.38,2,185,73,0363 DB37 0A9B 68B2 4474
80635,Home in Amsterdam · ★4.77 · 1 bedroom · 1 bed · 1.5 baths,436145,Riks,,Centrum-West,52.37828,4.8944,Private room,116,3,241,12/31/2022,1.62,4,0,13,0363 4108 6EC3 C2FF 2493
462341,Home in Amsterdam · ★4.97 · 3 bedrooms · 2 beds · 1.5 baths,2297302,Milen & Joes,,Centrum-West,52.3739,4.89263,Entire home/apt,238,6,39,5/2/2023,0.4,1,1,3,0363 C83F 9271 BA8F 23ED
82482,Guesthouse in Amsterdam · ★4.51 · Studio · 2 beds · 1 bath,186729,Shawna,,Centrum-West,52.36968,4.88122,Entire home/apt,139,2,1005,5/29/2023,6.9,1,214,81,0363 4ADE 41D8 0E67 1563
283170,Rental unit in Amsterdam · ★4.52 · 5 bedrooms · 8 beds · 1.5 baths,1451657,Marco,,Zuid,52.35435,4.87316,Entire home/apt,1036,2,121,5/7/2023,0.89,1,258,7,0363 0240 34A0 48C3 6D81
286500,Rental unit in Amsterdam · ★4.90 · 1 bedroom · 1 bed · 1 private bath,1491565,David,,Centrum-West,52.37561,4.9,Private room,633,3,356,4/29/2023,2.58,2,162,37,
91535,Boat in Amsterdam · ★4.74 · 1 bedroom · 1 bed · 1.5 baths,494281,Michiel,,De Pijp - Rivierenbuurt,52.35774,4.89647,Private room,149,1,140,5/28/2023,0.97,1,14,71,0363 74BA 2074 E0CF 1CB8
